coordinate	binary_sha256	source_sha256	source_url
org.glassfish.hk2:hk2-locator:3.0.6	e2664d21b017c3aa1518b913264602bea604edc54d356103c10afba99abd04fc	6cdbf7b7ed860879fd220aad17a5e4d067c0a025a0f951d4813aac947697e03c	https://repo.maven.apache.org/maven2/org/glassfish/hk2/hk2-locator/3.0.6/hk2-locator-3.0.6-sources.jar
org.javassist:javassist:3.31.0-GA	44b6b900ca352f4a0048e9428efab16582a014e10f8f65b4e58f5136c704624e	a9f798b9dc3a716660a67592f49b4474fa4d9b9b17f468acbe9a8c1cdbc7d8eb	https://repo.maven.apache.org/maven2/org/javassist/javassist/3.31.0-GA/javassist-3.31.0-GA-sources.jar
io.dropwizard.metrics:metrics-jersey3:4.2.39	bcc78aa13b5e27fcef942098c1305667273fd361a96c3b7db8c204da52bfdc9f	ebe742c4e446edd4d53884760702de87258c1f29d680215d4083cbb796db0aa8	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-jersey3/4.2.39/metrics-jersey3-4.2.39-sources.jar
org.glassfish.hk2:hk2-api:3.0.6	c049a21a9fd9316c7e291a2bc28835f70d25affb623dc1599a83b6b84ec83a4f	8c04fbc0d518f9cd25581dabdf56a0a1a835be8915f1af450a8904e961114395	https://repo.maven.apache.org/maven2/org/glassfish/hk2/hk2-api/3.0.6/hk2-api-3.0.6-sources.jar
org.glassfish.hk2:hk2-utils:3.0.6	fc84d85a0744b576d9ec7db5845eeb998ed532a9450dd19c8c922c3ee6926206	62450c58c5e77c326f4958a1a6ca2c683d82b9a730488cfb8b7195894147957b	https://repo.maven.apache.org/maven2/org/glassfish/hk2/hk2-utils/3.0.6/hk2-utils-3.0.6-sources.jar
org.glassfish.hk2.external:aopalliance-repackaged:3.0.6	a82b6d1a348324ef88dc807c7cd7aaf633985cbff7b30036fb61a1b86981d840	f8275c7b744e590ffb1030524612581f983b75bb2836725718b9b5d4e11b0048	https://repo.maven.apache.org/maven2/org/glassfish/hk2/external/aopalliance-repackaged/3.0.6/aopalliance-repackaged-3.0.6-sources.jar
org.glassfish.jersey.containers:jersey-container-servlet:3.1.11	dfb7bd433c1648ae0dd037b4d21093225333564ed01d751b5eb6e2a099dec160	734306cbe79cdbf50f840340c31be4b2049966dccb9a83dcce750bcc85b98855	https://repo.maven.apache.org/maven2/org/glassfish/jersey/containers/jersey-container-servlet/3.1.11/jersey-container-servlet-3.1.11-sources.jar
org.eclipse.jetty:jetty-io:12.1.9	904c1680e74705794c15f9df2a9ccfb155152bdd3067521fd6522df009bfa9d9	5dc1471946339c6be979102a7b545720bc8a3c7e2d10636481804f524a1bacab	https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-io/12.1.9/jetty-io-12.1.9-sources.jar
io.dropwizard:dropwizard-servlets:5.0.2	60584b7dcb5189d24b1d440f7140b6647fb9cb4459697a91b36f4354947f28a2	945cec6aadc0ba75ed340dc4722e3955c7f4f8b11d4972ce1395bcafb060cccc	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-servlets/5.0.2/dropwizard-servlets-5.0.2-sources.jar
io.dropwizard:dropwizard-jetty:5.0.2	1754effeaf3ca66cd5265fe6733c6565e0dd17c5c08c7eb1a8daf1d5276c1b5b	3325c8c1bfc0c2cbb2b44b60742921c011846588a0d613280ec5319810c27116	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-jetty/5.0.2/dropwizard-jetty-5.0.2-sources.jar
org.eclipse.jetty:jetty-http:12.1.9	857eaf5e7823f9ee91099db5bedd179b7d3e93653ac288e27321544231014df0	d0fb3ab8418a7c130f7ca555396ee9a159a6504cc2f7adbd4ebb768f3e246a21	https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-http/12.1.9/jetty-http-12.1.9-sources.jar
io.dropwizard:dropwizard-lifecycle:5.0.2	8204289b4c72b5988d2e07e935ed0832b511b882874571148f1612fe8dac76e0	40295e9bf15320ae86532eec2d99651321bb109cf99bb00358c0bfd2aba6ca8f	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-lifecycle/5.0.2/dropwizard-lifecycle-5.0.2-sources.jar
io.dropwizard:dropwizard-health:5.0.2	328a585e7bda754d495c46e1cfb6b453922d726bfd0217deb05b055783d514e5	24fa65499e1b0bd0bafe0104f86b60aa18d23e1ab20ed0b4e53aa824ddc8e88c	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-health/5.0.2/dropwizard-health-5.0.2-sources.jar
io.dropwizard.metrics:metrics-core:4.2.39	cc7b1352cd8077974b70b3e365c4f13aa93f5786ce1dea538be5451ed23600c9	03b2f12d1144ca069c07cf04b9ac354131d45d521fa61bbded18a9194078d752	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-core/4.2.39/metrics-core-4.2.39-sources.jar
io.dropwizard.metrics:metrics-annotation:4.2.39	e0ca14960ba7dc198a84a41fae51067c5aa785a7ea32096db3f4b524d5fdac32	6cb94892b477b1cbc26b38304c6b44226603345861c93a0b0e2930cb50abf9de	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-annotation/4.2.39/metrics-annotation-4.2.39-sources.jar
io.dropwizard.metrics:metrics-jetty12:4.2.39	411b3d1d61d4e5655757065535f7b16b71b412d184bdad9337b9bbf03af60acf	6ef41d131d4819ce98a7e7203325d9ef0f4324667d761244a112ce71b652a8e5	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-jetty12/4.2.39/metrics-jetty12-4.2.39-sources.jar
io.dropwizard.metrics:metrics-jetty12-ee10:4.2.39	2f828a3f2a48f3f9e574be1f61e858c7122afaeae6ab8636482308bc334b6261	9be3040dfc4b636e10d687e0872c41b5ecb84dd92cba77b2fb5125f41415e77d	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-jetty12-ee10/4.2.39/metrics-jetty12-ee10-4.2.39-sources.jar
io.dropwizard.metrics:metrics-jvm:4.2.39	00c03bf37d2eb5491e00fcac6842e6ce5ec6cfe069fea111d1f80a5b39e7145e	f38e6faa3d68f37f22e1a49210c9fc9ad4a1d3b6b92517fbc84fc8ef5f631ed5	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-jvm/4.2.39/metrics-jvm-4.2.39-sources.jar
io.dropwizard.metrics:metrics-jmx:4.2.39	3fe986a9f7aa1fde0cb40f7710b3868c20459edb5cb8657aa5cb145374b42583	9cca9b40606a51f39bb07e0911b5a69903434628b3116eb994800056d8c28c51	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-jmx/4.2.39/metrics-jmx-4.2.39-sources.jar
io.dropwizard.metrics:metrics-jakarta-servlets:4.2.39	fa17ed131c50beb8a0e3fb654b349d048519c7f8b2cd569e698031abf03d1828	95d801a92fb85ffa952d39770eb70a19371cc0239e6de01ce2a987e07918fe86	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-jakarta-servlets/4.2.39/metrics-jakarta-servlets-4.2.39-sources.jar
